10150268.xml	DDI-MedLine.d78.s0	NO_SECTION	NO_SETID	9
1	0	8	O	Therefore
2	9	9	O	,
3	11	18	U-UNK	etodolac
4	20	22	O	can
5	24	32	O	generally
6	34	35	O	be
7	37	41	O	given
8	43	49	O	without
9	51	53	O	the
10	55	58	O	need
11	60	62	O	for
12	64	69	O	dosage
13	71	83	O	modifications
14	85	86	O	in
15	88	94	O	special
16	96	106	O	populations
17	108	111	O	such
18	113	114	O	as
19	116	128	O	uncompromised
20	130	136	O	elderly
21	138	145	O	patients
22	146	146	O	,
23	148	152	O	those
24	154	157	O	with
25	159	166	O	moderate
26	168	172	O	renal
27	174	183	O	impairment
28	184	184	O	,
29	186	188	O	and
30	190	197	O	patients
31	199	202	O	with
32	204	209	O	stable
33	211	217	O	hepatic
34	219	225	O	disease
NULL

7746025.xml	DDI-MedLine.d51.s0	NO_SECTION	NO_SETID	18
Effects of xanthine derivatives in a light/dark test in mice and the contribution of adenosine receptors.
1	0	6	O	Effects
2	8	9	O	of
3	11	18	B-UNK	xanthine
4	20	30	L-UNK	derivatives
5	32	33	O	in
6	35	35	O	a
7	37	41	O	light
8	42	42	O	/
9	43	46	O	dark
10	48	51	O	test
11	53	54	O	in
12	56	59	O	mice
13	61	63	O	and
14	65	67	O	the
15	69	80	O	contribution
16	82	83	O	of
17	85	93	O	adenosine
18	95	103	O	receptors
NULL

7746025.xml	DDI-MedLine.d51.s1	NO_SECTION	NO_SETID	31
We investigated the effects of adenosine receptor antagonists, caffeine, theophylline, 8-phenyltheophylline, and 8-cyclopentyl-1,3-dipropylxanthine (DPCPX), in a light/dark test in mice.
1	0	1	O	We
2	3	14	O	investigated
3	16	18	O	the
4	20	26	O	effects
5	28	29	O	of
6	31	39	O	adenosine
7	41	48	O	receptor
8	50	60	O	antagonists
9	61	61	O	,
10	63	70	U-UNK	caffeine
11	71	71	O	,
12	73	84	U-UNK	theophylline
13	85	85	O	,
14	87	87	B-UNK	8
15	89	106	L-UNK	phenyltheophylline
16	107	107	O	,
17	109	111	O	and
18	113	113	B-UNK	8
19	115	125	I-UNK	cyclopentyl
20	127	129	I-UNK	1,3
21	131	146	L-UNK	dipropylxanthine
22	149	153	U-UNK	DPCPX
23	155	155	O	,
24	157	158	O	in
25	160	160	O	a
26	162	166	O	light
27	167	167	O	/
28	168	171	O	dark
29	173	176	O	test
30	178	179	O	in
31	181	184	O	mice
NULL

7746025.xml	DDI-MedLine.d51.s2	NO_SECTION	NO_SETID	22
All antagonists decreased the time spent in the light zone in this test, which suggested that these compounds have anxiogenic effects.
1	0	2	O	All
2	4	14	O	antagonists
3	16	24	O	decreased
4	26	28	O	the
5	30	33	O	time
6	35	39	O	spent
7	41	42	O	in
8	44	46	O	the
9	48	52	O	light
10	54	57	O	zone
11	59	60	O	in
12	62	65	O	this
13	67	70	O	test
14	71	71	O	,
15	73	77	O	which
16	79	87	O	suggested
17	89	92	O	that
18	94	98	O	these
19	100	108	O	compounds
20	110	113	O	have
21	115	124	O	anxiogenic
22	126	132	O	effects
NULL

7746025.xml	DDI-MedLine.d51.s3	NO_SECTION	NO_SETID	29
The anxiogenic effects of theophylline were reduced by pretreatment with CGS 21680, an A2-selective agonist, but not by N6-cyclopentyladenosine (CPA), an A1-selective agonist.
1	0	2	O	The
2	4	13	O	anxiogenic
3	15	21	O	effects
4	23	24	O	of
5	26	37	U-UNK	theophylline
6	39	42	O	were
7	44	50	O	reduced
8	52	53	O	by
9	55	66	O	pretreatment
10	68	71	O	with
11	73	75	B-UNK	CGS
12	77	81	L-UNK	21680
13	82	82	O	,
14	84	85	O	an
15	87	88	O	A2
16	90	98	O	selective
17	100	106	O	agonist
18	107	107	O	,
19	109	111	O	but
20	113	115	O	not
21	117	118	O	by
22	120	121	B-UNK	N6
23	123	142	L-UNK	cyclopentyladenosine
24	145	147	U-UNK	CPA
25	149	149	O	,
26	151	152	O	an
27	154	155	O	A1
28	157	165	O	selective
29	167	173	O	agonist
NULL

7746025.xml	DDI-MedLine.d51.s4	NO_SECTION	NO_SETID	38
However, the antagonism of the theophylline-induced anxiogenic effects by CGS21680 was only observed in the time spent in the light zone, and DPCPX-induced anxiogenic effects were neither reversed by CGS 21680 nor by CPA.
1	0	6	O	However
2	7	7	O	,
3	9	11	O	the
4	13	22	O	antagonism
5	24	25	O	of
6	27	29	O	the
7	31	42	U-UNK	theophylline
8	44	50	O	induced
9	52	61	O	anxiogenic
10	63	69	O	effects
11	71	72	O	by
12	74	81	U-UNK	CGS21680
13	83	85	O	was
14	87	90	O	only
15	92	99	O	observed
16	101	102	O	in
17	104	106	O	the
18	108	111	O	time
19	113	117	O	spent
20	119	120	O	in
21	122	124	O	the
22	126	130	O	light
23	132	135	O	zone
24	136	136	O	,
25	138	140	O	and
26	142	146	U-UNK	DPCPX
27	148	154	O	induced
28	156	165	O	anxiogenic
29	167	173	O	effects
30	175	178	O	were
31	180	186	O	neither
32	188	195	O	reversed
33	197	198	O	by
34	200	202	B-UNK	CGS
35	204	208	L-UNK	21680
36	210	212	O	nor
37	214	215	O	by
38	217	219	U-UNK	CPA
NULL

7746025.xml	DDI-MedLine.d51.s5	NO_SECTION	NO_SETID	24
Finally, it is notable that xanthine-derived adenosine antagonists tested here commonly showed anxiogenic effects in the light/dark test in mice.
1	0	6	O	Finally
2	7	7	O	,
3	9	10	O	it
4	12	13	O	is
5	15	21	O	notable
6	23	26	O	that
7	28	35	O	xanthine
8	37	43	O	derived
9	45	53	O	adenosine
10	55	65	O	antagonists
11	67	72	O	tested
12	74	77	O	here
13	79	86	O	commonly
14	88	93	O	showed
15	95	104	O	anxiogenic
16	106	112	O	effects
17	114	115	O	in
18	117	119	O	the
19	121	125	O	light
20	126	126	O	/
21	127	130	O	dark
22	132	135	O	test
23	137	138	O	in
24	140	143	O	mice
NULL

7746025.xml	DDI-MedLine.d51.s6	NO_SECTION	NO_SETID	28
It is suggested that there is a minor contribution of adenosine receptors to these effects, although theophylline-induced anxiogenic effects were antagonized by an A2 receptor agonist.
1	0	1	O	It
2	3	4	O	is
3	6	14	O	suggested
4	16	19	O	that
5	21	25	O	there
6	27	28	O	is
7	30	30	O	a
8	32	36	O	minor
9	38	49	O	contribution
10	51	52	O	of
11	54	62	O	adenosine
12	64	72	O	receptors
13	74	75	O	to
14	77	81	O	these
15	83	89	O	effects
16	90	90	O	,
17	92	99	O	although
18	101	112	U-UNK	theophylline
19	114	120	O	induced
20	122	131	O	anxiogenic
21	133	139	O	effects
22	141	144	O	were
23	146	156	O	antagonized
24	158	159	O	by
25	161	162	O	an
26	164	165	O	A2
27	167	174	O	receptor
28	176	182	O	agonist
NULL

7756960.xml	DDI-MedLine.d4.s1	NO_SECTION	NO_SETID	25
The agent was found to produce some inhibiting activity against hepatic microsomal 7-ethoxycoumarine deethylase in male Wistar rats in vitro and in vivo experiments.
1	0	2	O	The
2	4	8	O	agent
3	10	12	O	was
4	14	18	O	found
5	20	21	O	to
6	23	29	O	produce
7	31	34	O	some
8	36	45	O	inhibiting
9	47	54	O	activity
10	56	62	O	against
11	64	70	O	hepatic
12	72	81	O	microsomal
13	83	83	O	7
14	85	99	O	ethoxycoumarine
15	101	110	O	deethylase
16	112	113	O	in
17	115	118	O	male
18	120	125	O	Wistar
19	127	130	O	rats
20	132	133	O	in
21	135	139	O	vitro
22	141	143	O	and
23	145	146	O	in
24	148	151	O	vivo
25	153	163	O	experiments
NULL

7756960.xml	DDI-MedLine.d4.s2	NO_SECTION	NO_SETID	26
When given in a dose of 50 mg/kg, sandimmune produced no statistically significant effect on the duration of hexanal-induced sleep in mice.
1	0	3	O	When
2	5	9	O	given
3	11	12	O	in
4	14	14	O	a
5	16	19	O	dose
6	21	22	O	of
7	24	25	O	50
8	27	28	O	mg
9	29	29	O	/
10	30	31	O	kg
11	32	32	O	,
12	34	43	O	XXXXXXXX
13	45	52	O	produced
14	54	55	O	no
15	57	69	O	statistically
16	71	81	O	significant
17	83	88	O	effect
18	90	91	O	on
19	93	95	O	the
20	97	104	O	duration
21	106	107	O	of
22	109	115	O	hexanal
23	117	123	O	induced
24	125	129	O	sleep
25	131	132	O	in
26	134	137	O	mice
NULL

7756960.xml	DDI-MedLine.d4.s3	NO_SECTION	NO_SETID	13
The findings suggest that the agent has slight effects on the tested activities.
1	0	2	O	The
2	4	11	O	findings
3	13	19	O	suggest
4	21	24	O	that
5	26	28	O	the
6	30	34	O	agent
7	36	38	O	has
8	40	45	O	slight
9	47	53	O	effects
10	55	56	O	on
11	58	60	O	the
12	62	67	O	tested
13	69	78	O	activities
NULL

7756965.xml	DDI-MedLine.d68.s1	NO_SECTION	NO_SETID	14
The higher verografine and iodamide excretion was due to their increased renal tubular secretion.
1	0	2	O	The
2	4	9	O	higher
3	11	21	U-UNK	verografine
4	23	25	O	and
5	27	34	U-UNK	iodamide
6	36	44	O	excretion
7	46	48	O	was
8	50	52	O	due
9	54	55	O	to
10	57	61	O	their
11	63	71	O	increased
12	73	77	O	renal
13	79	85	O	tubular
14	87	95	O	secretion
NULL

7756965.xml	DDI-MedLine.d68.s2	NO_SECTION	NO_SETID	16
In dogs, cimetidine unchanged the secretion of cardiotrast, a test agent for anionic transport.
1	0	1	O	In
2	3	6	O	dogs
3	7	7	O	,
4	9	18	U-UNK	cimetidine
5	20	28	O	unchanged
6	30	32	O	the
7	34	42	O	secretion
8	44	45	O	of
9	47	57	U-UNK	cardiotrast
10	58	58	O	,
11	60	60	O	a
12	62	65	O	test
13	67	71	O	agent
14	73	75	O	for
15	77	83	O	anionic
16	85	93	O	transport
NULL

7756965.xml	DDI-MedLine.d68.s3	NO_SECTION	NO_SETID	15
Possible extrarenal mechanisms of action of cimetidine on verografine and iodamide transport were also examined.
1	0	7	O	Possible
2	9	18	O	extrarenal
3	20	29	O	mechanisms
4	31	32	O	of
5	34	39	O	action
6	41	42	O	of
7	44	53	U-UNK	cimetidine
8	55	56	O	on
9	58	68	U-UNK	verografine
10	70	72	O	and
11	74	81	U-UNK	iodamide
12	83	91	O	transport
13	93	96	O	were
14	98	101	O	also
15	103	110	O	examined
NULL

7780789.xml	DDI-MedLine.d121.s1	NO_SECTION	NO_SETID	20
Animals studies on the various dual-memory theories have been carried out mainly on the basis of hippocampal system function.
1	0	6	O	Animals
2	8	14	O	studies
3	16	17	O	on
4	19	21	O	the
5	23	29	O	various
6	31	34	O	dual
7	36	41	O	memory
8	43	50	O	theories
9	52	55	O	have
10	57	60	O	been
11	62	68	O	carried
12	70	72	O	out
13	74	79	O	mainly
14	81	82	O	on
15	84	86	O	the
16	88	92	O	basis
17	94	95	O	of
18	97	107	O	hippocampal
19	109	114	O	system
20	116	123	O	function
NULL

7780789.xml	DDI-MedLine.d121.s2	NO_SECTION	NO_SETID	22
Specifically, they have focused on aspects of learning and memory that are impaired (vs. spared) by lesions of the hippocampal formation.
1	0	11	O	Specifically
2	12	12	O	,
3	14	17	O	they
4	19	22	O	have
5	24	30	O	focused
6	32	33	O	on
7	35	41	O	aspects
8	43	44	O	of
9	46	53	O	learning
10	55	57	O	and
11	59	64	O	memory
12	66	69	O	that
13	71	73	O	are
14	75	82	O	impaired
15	85	86	O	vs
16	89	94	O	spared
17	97	98	O	by
18	100	106	O	lesions
19	108	109	O	of
20	111	113	O	the
21	115	125	O	hippocampal
22	127	135	O	formation
NULL

7780789.xml	DDI-MedLine.d121.s3	NO_SECTION	NO_SETID	21
However, there are several instances in the animal literature showing that hippocampal lesions actually produced enhanced learning and memory function.
1	0	6	O	However
2	7	7	O	,
3	9	13	O	there
4	15	17	O	are
5	19	25	O	several
6	27	35	O	instances
7	37	38	O	in
8	40	42	O	the
9	44	49	O	animal
10	51	60	O	literature
11	62	68	O	showing
12	70	73	O	that
13	75	85	O	hippocampal
14	87	93	O	lesions
15	95	102	O	actually
16	104	111	O	produced
17	113	120	O	enhanced
18	122	129	O	learning
19	131	133	O	and
20	135	140	O	memory
21	142	149	O	function
NULL

7780789.xml	DDI-MedLine.d121.s4	NO_SECTION	NO_SETID	29
Moreover, the acquisition of tasks that are facilitated by hippocampal lesions (or dysfunction) is nevertheless associated, in intact subjects, with specific neurobiological alterations in the hippocampus.
1	0	7	O	Moreover
2	8	8	O	,
3	10	12	O	the
4	14	24	O	acquisition
5	26	27	O	of
6	29	33	O	tasks
7	35	38	O	that
8	40	42	O	are
9	44	54	O	facilitated
10	56	57	O	by
11	59	69	O	hippocampal
12	71	77	O	lesions
13	80	81	O	or
14	83	93	O	dysfunction
15	96	97	O	is
16	99	110	O	nevertheless
17	112	121	O	associated
18	122	122	O	,
19	124	125	O	in
20	127	132	O	intact
21	134	141	O	subjects
22	142	142	O	,
23	144	147	O	with
24	149	156	O	specific
25	158	172	O	neurobiological
26	174	184	O	alterations
27	186	187	O	in
28	189	191	O	the
29	193	203	O	hippocampus
NULL

7780789.xml	DDI-MedLine.d121.s5	NO_SECTION	NO_SETID	21
This problem has been analysed using two different tasks in mice: a bar-press conditioning and a spatial discrimination task.
1	0	3	O	This
2	5	11	O	problem
3	13	15	O	has
4	17	20	O	been
5	22	29	O	analysed
6	31	35	O	using
7	37	39	O	two
8	41	49	O	different
9	51	55	O	tasks
10	57	58	O	in
11	60	63	O	mice
12	64	64	O	:
13	66	66	O	a
14	68	70	O	bar
15	72	76	O	press
16	78	89	O	conditioning
17	91	93	O	and
18	95	95	O	a
19	97	103	O	spatial
20	105	118	O	discrimination
21	120	123	O	task
NULL

7780789.xml	DDI-MedLine.d121.s6	NO_SECTION	NO_SETID	23
Results showed that, depending on the task considered, the same pharmacological treatment produced either a facilitation or an impairment of acquisition.
1	0	6	O	Results
2	8	13	O	showed
3	15	18	O	that
4	19	19	O	,
5	21	29	O	depending
6	31	32	O	on
7	34	36	O	the
8	38	41	O	task
9	43	52	O	considered
10	53	53	O	,
11	55	57	O	the
12	59	62	O	same
13	64	78	O	pharmacological
14	80	88	O	treatment
15	90	97	O	produced
16	99	104	O	either
17	106	106	O	a
18	108	119	O	facilitation
19	121	122	O	or
20	124	125	O	an
21	127	136	O	impairment
22	138	139	O	of
23	141	151	O	acquisition
NULL

7780789.xml	DDI-MedLine.d121.s7	NO_SECTION	NO_SETID	16
Moreover, each task induced significant alterations in hippocampal adenylate cyclase activity but in opposite directions.
1	0	7	O	Moreover
2	8	8	O	,
3	10	13	O	each
4	15	18	O	task
5	20	26	O	induced
6	28	38	O	significant
7	40	50	O	alterations
8	52	53	O	in
9	55	65	O	hippocampal
10	67	75	O	adenylate
11	77	83	O	cyclase
12	85	92	O	activity
13	94	96	O	but
14	98	99	O	in
15	101	108	O	opposite
16	110	119	O	directions
NULL

7780789.xml	DDI-MedLine.d121.s8	NO_SECTION	NO_SETID	20
Together with previous findings, these results suggest that the hippocampus is involved in both the so-called "hippocampal-dependent"
1	0	7	O	Together
2	9	12	O	with
3	14	21	O	previous
4	23	30	O	findings
5	31	31	O	,
6	33	37	O	these
7	39	45	O	results
8	47	53	O	suggest
9	55	58	O	that
10	60	62	O	the
11	64	74	O	hippocampus
12	76	77	O	is
13	79	86	O	involved
14	88	89	O	in
15	91	94	O	both
16	96	98	O	the
17	100	101	O	so
18	103	108	O	called
19	110	121	O	"hippocampal
20	123	132	O	dependent"
NULL

7780789.xml	DDI-MedLine.d121.s9	NO_SECTION	NO_SETID	2
"hippocampal-independent"
1	0	11	O	"hippocampal
2	13	24	O	independent"
NULL

7780789.xml	DDI-MedLine.d121.s11	NO_SECTION	NO_SETID	27
It is postulated that some of the observed training-induced neurobiological alterations might reflect the interaction between two (or more) competing memory systems at the hippocampal level.
1	0	1	O	It
2	3	4	O	is
3	6	15	O	postulated
4	17	20	O	that
5	22	25	O	some
6	27	28	O	of
7	30	32	O	the
8	34	41	O	observed
9	43	50	O	training
10	52	58	O	induced
11	60	74	O	neurobiological
12	76	86	O	alterations
13	88	92	O	might
14	94	100	O	reflect
15	102	104	O	the
16	106	116	O	interaction
17	118	124	O	between
18	126	128	O	two
19	131	132	O	or
20	134	137	O	more
21	140	148	O	competing
22	150	155	O	memory
23	157	163	O	systems
24	165	166	O	at
25	168	170	O	the
26	172	182	O	hippocampal
27	184	188	O	level
NULL

7780789.xml	DDI-MedLine.d121.s12	NO_SECTION	NO_SETID	45
Thus, in addition to its proposed specific information processing functions (i.e., relational), the hippocampus would play a role in addressing information to the brain memory system that, in a given situation, has the best adaptive value.(ABSTRACT TRUNCATED AT 250 WORDS)
1	0	3	O	Thus
2	4	4	O	,
3	6	7	O	in
4	9	16	O	addition
5	18	19	O	to
6	21	23	O	its
7	25	32	O	proposed
8	34	41	O	specific
9	43	53	O	information
10	55	64	O	processing
11	66	74	O	functions
12	77	79	O	i.e
13	81	81	O	,
14	83	92	O	relational
15	94	94	O	,
16	96	98	O	the
17	100	110	O	hippocampus
18	112	116	O	would
19	118	121	O	play
20	123	123	O	a
21	125	128	O	role
22	130	131	O	in
23	133	142	O	addressing
24	144	154	O	information
25	156	157	O	to
26	159	161	O	the
27	163	167	O	brain
28	169	174	O	memory
29	176	181	O	system
30	183	186	O	that
31	187	187	O	,
32	189	190	O	in
33	192	192	O	a
34	194	198	O	given
35	200	208	O	situation
36	209	209	O	,
37	211	213	O	has
38	215	217	O	the
39	219	222	O	best
40	224	231	O	adaptive
41	233	247	O	value.(ABSTRACT
42	249	257	O	TRUNCATED
43	259	260	O	AT
44	262	264	O	250
45	266	270	O	WORDS
NULL

7786695.xml	DDI-MedLine.d103.s0	NO_SECTION	NO_SETID	3
Magnesium and therapeutics.
1	0	8	U-UNK	Magnesium
2	10	12	O	and
3	14	25	O	therapeutics
NULL

7786695.xml	DDI-MedLine.d103.s1	NO_SECTION	NO_SETID	43
Two different types of therapy with magnesium are used: physiological oral magnesium supplementation which is totally atoxic since it palliates magnesium deficiencies by simply normalizing the magnesium intake and pharmacological magnesium therapy which may induce toxicity since it creates iatrogenic magnesium overload.
1	0	2	O	Two
2	4	12	O	different
3	14	18	O	types
4	20	21	O	of
5	23	29	O	therapy
6	31	34	O	with
7	36	44	U-UNK	magnesium
8	46	48	O	are
9	50	53	O	used
10	54	54	O	:
11	56	68	O	physiological
12	70	73	O	oral
13	75	83	U-UNK	magnesium
14	85	99	O	supplementation
15	101	105	O	which
16	107	108	O	is
17	110	116	O	totally
18	118	123	O	atoxic
19	125	129	O	since
20	131	132	O	it
21	134	142	O	palliates
22	144	152	U-UNK	magnesium
23	154	165	O	deficiencies
24	167	168	O	by
25	170	175	O	simply
26	177	187	O	normalizing
27	189	191	O	the
28	193	201	U-UNK	magnesium
29	203	208	O	intake
30	210	212	O	and
31	214	228	O	pharmacological
32	230	238	U-UNK	magnesium
33	240	246	O	therapy
34	248	252	O	which
35	254	256	O	may
36	258	263	O	induce
37	265	272	O	toxicity
38	274	278	O	since
39	280	281	O	it
40	283	289	O	creates
41	291	300	O	iatrogenic
42	302	310	U-UNK	magnesium
43	312	319	O	overload
NULL

7786695.xml	DDI-MedLine.d103.s2	NO_SECTION	NO_SETID	14
Primary and secondary magnesium deficiencies constitute the sole indication of physiological oral magnesium therapy.
1	0	6	O	Primary
2	8	10	O	and
3	12	20	O	secondary
4	22	30	U-UNK	magnesium
5	32	43	O	deficiencies
6	45	54	O	constitute
7	56	58	O	the
8	60	63	O	sole
9	65	74	O	indication
10	76	77	O	of
11	79	91	O	physiological
12	93	96	O	oral
13	98	106	U-UNK	magnesium
14	108	114	O	therapy
NULL

7786695.xml	DDI-MedLine.d103.s3	NO_SECTION	NO_SETID	60
It is therefore necessary to be well acquainted with the clinical and paraclinical pattern of magnesium deficit and to discriminate between magnesium deficiency due to an insufficient magnesium intake which only requires oral physiological supplementation and magnesium depletion related to a dysregulation of the control mechanisms of magnesium status which requires more or less specific regulation of its causal dysregulation.
1	0	1	O	It
2	3	4	O	is
3	6	14	O	therefore
4	16	24	O	necessary
5	26	27	O	to
6	29	30	O	be
7	32	35	O	well
8	37	46	O	acquainted
9	48	51	O	with
10	53	55	O	the
11	57	64	O	clinical
12	66	68	O	and
13	70	81	O	paraclinical
14	83	89	O	pattern
15	91	92	O	of
16	94	102	U-UNK	magnesium
17	104	110	O	deficit
18	112	114	O	and
19	116	117	O	to
20	119	130	O	discriminate
21	132	138	O	between
22	140	148	U-UNK	magnesium
23	150	159	O	deficiency
24	161	163	O	due
25	165	166	O	to
26	168	169	O	an
27	171	182	O	insufficient
28	184	192	U-UNK	magnesium
29	194	199	O	intake
30	201	205	O	which
31	207	210	O	only
32	212	219	O	requires
33	221	224	O	oral
34	226	238	O	physiological
35	240	254	O	supplementation
36	256	258	O	and
37	260	268	U-UNK	magnesium
38	270	278	O	depletion
39	280	286	O	related
40	288	289	O	to
41	291	291	O	a
42	293	305	O	dysregulation
43	307	308	O	of
44	310	312	O	the
45	314	320	O	control
46	322	331	O	mechanisms
47	333	334	O	of
48	336	344	U-UNK	magnesium
49	346	351	O	status
50	353	357	O	which
51	359	366	O	requires
52	368	371	O	more
53	373	374	O	or
54	376	379	O	less
55	381	388	O	specific
56	390	399	O	regulation
57	401	402	O	of
58	404	406	O	its
59	408	413	O	causal
60	415	427	O	dysregulation
NULL

7786695.xml	DDI-MedLine.d103.s4	NO_SECTION	NO_SETID	20
Physiological oral magnesium load constitutes the best tool for diagnosis of magnesium deficiency and the first step of its treatment.
1	0	12	O	Physiological
2	14	17	O	oral
3	19	27	U-UNK	magnesium
4	29	32	O	load
5	34	44	O	constitutes
6	46	48	O	the
7	50	53	O	best
8	55	58	O	tool
9	60	62	O	for
10	64	72	O	diagnosis
11	74	75	O	of
12	77	85	U-UNK	magnesium
13	87	96	O	deficiency
14	98	100	O	and
15	102	104	O	the
16	106	110	O	first
17	112	115	O	step
18	117	118	O	of
19	120	122	O	its
20	124	132	O	treatment
NULL

7786695.xml	DDI-MedLine.d103.s5	NO_SECTION	NO_SETID	35
Physiological oral magnesium supplementation (5 mg/kg/day) is easy and can be carried out in the diet or with magnesium salts, with practically only one contra-indication: overt renal failure.
1	0	12	O	Physiological
2	14	17	O	oral
3	19	27	U-UNK	magnesium
4	29	43	O	supplementation
5	46	46	O	5
6	48	49	O	mg
7	50	50	O	/
8	51	52	O	kg
9	53	53	O	/
10	54	56	O	day
11	59	60	O	is
12	62	65	O	easy
13	67	69	O	and
14	71	73	O	can
15	75	76	O	be
16	78	84	O	carried
17	86	88	O	out
18	90	91	O	in
19	93	95	O	the
20	97	100	O	diet
21	102	103	O	or
22	105	108	O	with
23	110	118	U-UNK	magnesium
24	120	124	O	salts
25	125	125	O	,
26	127	130	O	with
27	132	142	O	practically
28	144	147	O	only
29	149	151	O	one
30	153	158	O	contra
31	160	169	O	indication
32	170	170	O	:
33	172	176	O	overt
34	178	182	O	renal
35	184	190	O	failure
NULL

7786695.xml	DDI-MedLine.d103.s6	NO_SECTION	NO_SETID	30
Specific and aspecific treatments of magnesium depletion are tricky using for example magnesium sparing diuretics, pharmacological doses of vitamin B6, physiological doses of vitamin D and of selenium.
1	0	7	O	Specific
2	9	11	O	and
3	13	21	O	aspecific
4	23	32	O	treatments
5	34	35	O	of
6	37	45	U-UNK	magnesium
7	47	55	O	depletion
8	57	59	O	are
9	61	66	O	tricky
10	68	72	O	using
11	74	76	O	for
12	78	84	O	example
13	86	94	B-UNK	magnesium
14	96	102	I-UNK	sparing
15	104	112	L-UNK	diuretics
16	113	113	O	,
17	115	129	O	pharmacological
18	131	135	O	doses
19	137	138	O	of
20	140	146	B-UNK	vitamin
21	148	149	L-UNK	B6
22	150	150	O	,
23	152	164	O	physiological
24	166	170	O	doses
25	172	173	O	of
26	175	181	B-UNK	vitamin
27	183	183	L-UNK	D
28	185	187	O	and
29	189	190	O	of
30	192	199	U-UNK	selenium
NULL

7786695.xml	DDI-MedLine.d103.s7	NO_SECTION	NO_SETID	38
In order to use the pharmacological properties of induced therapeutic hypermagnesaemia, high oral doses of magnesium (> 10 mg/kg/day) are advisable for chronic indications and the parenteral route is suitable for acute indications.
1	0	1	O	In
2	3	7	O	order
3	9	10	O	to
4	12	14	O	use
5	16	18	O	the
6	20	34	O	pharmacological
7	36	45	O	properties
8	47	48	O	of
9	50	56	O	induced
10	58	68	O	therapeutic
11	70	85	O	hypermagnesaemia
12	86	86	O	,
13	88	91	O	high
14	93	96	O	oral
15	98	102	O	doses
16	104	105	O	of
17	107	115	U-UNK	magnesium
18	118	118	O	>
19	120	121	O	10
20	123	124	O	mg
21	125	125	O	/
22	126	127	O	kg
23	128	128	O	/
24	129	131	O	day
25	134	136	O	are
26	138	146	O	advisable
27	148	150	O	for
28	152	158	O	chronic
29	160	170	O	indications
30	172	174	O	and
31	176	178	O	the
32	180	189	O	parenteral
33	191	195	O	route
34	197	198	O	is
35	200	207	O	suitable
36	209	211	O	for
37	213	217	O	acute
38	219	229	O	indications
NULL

7786695.xml	DDI-MedLine.d103.s8	NO_SECTION	NO_SETID	38
There are 3 types of indications: specific (for the treatment of some forms of magnesium deficit i.e. acute), pharmacological (i.e. without alterations of magnesium status) and mixed--pharmacological and aetiopathogenic--(for example complications of chronic alcoholism).
1	0	4	O	There
2	6	8	O	are
3	10	10	O	3
4	12	16	O	types
5	18	19	O	of
6	21	31	O	indications
7	32	32	O	:
8	34	41	O	specific
9	44	46	O	for
10	48	50	O	the
11	52	60	O	treatment
12	62	63	O	of
13	65	68	O	some
14	70	74	O	forms
15	76	77	O	of
16	79	87	U-UNK	magnesium
17	89	95	O	deficit
18	97	99	O	i.e
19	102	106	O	acute
20	108	108	O	,
21	110	124	O	pharmacological
22	127	129	O	i.e
23	132	138	O	without
24	140	150	O	alterations
25	152	153	O	of
26	155	163	U-UNK	magnesium
27	165	170	O	status
28	173	175	O	and
29	177	181	O	mixed
30	184	198	O	pharmacological
31	200	202	O	and
32	204	218	O	aetiopathogenic
33	222	224	O	for
34	226	232	O	example
35	234	246	O	complications
36	248	249	O	of
37	251	257	O	chronic
38	259	268	O	alcoholism
NULL

7786695.xml	DDI-MedLine.d103.s9	NO_SECTION	NO_SETID	13
Today pharmacological magnesium therapy mainly concerns the obstetrical, cardiological and anaesthesiological fields.
1	0	4	O	Today
2	6	20	O	pharmacological
3	22	30	U-UNK	magnesium
4	32	38	O	therapy
5	40	45	O	mainly
6	47	54	O	concerns
7	56	58	O	the
8	60	70	O	obstetrical
9	71	71	O	,
10	73	85	O	cardiological
11	87	89	O	and
12	91	108	O	anaesthesiological
13	110	115	O	fields
NULL

7786695.xml	DDI-MedLine.d103.s10	NO_SECTION	NO_SETID	15
The main indications are eclampsia, some dysrhythmias (torsades de pointe particularly) and myocardial ischaemias.
1	0	2	O	The
2	4	7	O	main
3	9	19	O	indications
4	21	23	O	are
5	25	33	O	eclampsia
6	34	34	O	,
7	36	39	O	some
8	41	52	O	dysrhythmias
9	55	62	O	torsades
10	64	65	O	de
11	67	72	O	pointe
12	74	85	O	particularly
13	88	90	O	and
14	92	101	O	myocardial
15	103	112	O	ischaemias
NULL

7786695.xml	DDI-MedLine.d103.s11	NO_SECTION	NO_SETID	16
But it is now difficult to situate the exact place of the pharmacological indications of magnesium.
1	0	2	O	But
2	4	5	O	it
3	7	8	O	is
4	10	12	O	now
5	14	22	O	difficult
6	24	25	O	to
7	27	33	O	situate
8	35	37	O	the
9	39	43	O	exact
10	45	49	O	place
11	51	52	O	of
12	54	56	O	the
13	58	72	O	pharmacological
14	74	84	O	indications
15	86	87	O	of
16	89	97	U-UNK	magnesium
NULL

7786695.xml	DDI-MedLine.d103.s12	NO_SECTION	NO_SETID	30
Magnesium infusions can only be envisaged in intensive care units with careful monitoring of pulse, arterial pressure, deep tendon reflexes, hourly diuresis, electrocardiogram and respiratory recordings.
1	0	8	U-UNK	Magnesium
